aX,aY,aZ,gX,gY,gZ
-1.081,-0.117,-0.008,62.439,200.989,465.515
-1.238,0.389,-0.044,86.426,171.753,508.118
-1.253,0.886,-0.007,111.938,134.949,540.833
-1.282,1.348,0.101,125.488,102.234,560.486
-1.304,1.768,0.196,117.859,86.243,559.692
-1.271,2.115,0.199,86.548,87.830,536.377
-1.192,2.447,0.087,39.368,98.572,494.080
-1.180,2.696,-0.058,-4.395,108.215,438.110
-1.220,2.896,-0.174,-31.250,111.084,381.714
-1.148,3.082,-0.300,-41.565,106.384,332.214
-1.092,3.196,-0.383,-44.067,99.365,284.058
-1.005,3.290,-0.481,-44.556,93.689,235.901
-0.928,3.309,-0.539,-45.715,86.670,182.983
-0.857,3.220,-0.559,-44.983,76.477,129.517
-0.775,3.057,-0.546,-42.908,66.223,82.581
-0.732,2.911,-0.523,-37.354,58.228,48.279
-0.681,2.816,-0.515,-26.978,53.894,26.245
-0.630,2.752,-0.518,-15.930,49.194,9.888
-0.606,2.704,-0.510,-12.756,43.091,-6.958
-0.567,2.642,-0.490,-20.508,32.227,-24.353
-0.511,2.562,-0.451,-37.109,18.311,-41.626
-0.461,2.490,-0.400,-60.059,5.737,-58.838
-0.405,2.389,-0.356,-85.388,-3.845,-79.346
-0.350,2.236,-0.288,-110.352,-12.329,-102.173
-0.308,2.085,-0.211,-136.780,-19.775,-123.962
-0.281,1.980,-0.160,-162.354,-23.987,-141.235
-0.246,1.870,-0.141,-177.612,-26.367,-156.006
-0.219,1.697,-0.108,-181.396,-28.015,-173.523
-0.190,1.500,-0.087,-184.387,-28.137,-192.017
-0.155,1.314,-0.076,-194.214,-28.320,-205.566
-0.129,1.153,-0.067,-207.031,-27.222,-212.646
-0.098,1.026,-0.064,-219.849,-25.085,-214.966
-0.064,0.918,-0.063,-229.187,-22.888,-216.064
-0.047,0.812,-0.069,-234.558,-19.714,-217.041
-0.010,0.708,-0.085,-234.497,-14.404,-218.201
0.023,0.596,-0.105,-229.126,-8.911,-218.933
0.057,0.479,-0.125,-220.215,-2.258,-218.567
0.103,0.358,-0.165,-212.341,7.263,-216.553
0.141,0.237,-0.218,-206.543,18.799,-212.769
0.134,0.120,-0.285,-203.369,30.090,-207.764
0.157,-0.002,-0.375,-198.608,39.063,-200.500
0.174,-0.114,-0.459,-190.674,43.213,-189.697
0.180,-0.206,-0.522,-178.894,42.419,-174.194
0.177,-0.266,-0.575,-164.551,38.086,-154.968
0.167,-0.308,-0.618,-147.522,31.799,-134.399
0.180,-0.337,-0.651,-129.333,23.499,-114.197
0.178,-0.354,-0.672,-109.924,15.564,-94.360
0.183,-0.386,-0.683,-91.553,7.507,-77.515
0.175,-0.433,-0.678,-76.233,1.221,-63.049
0.149,-0.485,-0.676,-67.200,-1.953,-48.279
0.162,-0.518,-0.695,-65.552,-3.296,-30.396
0.144,-0.505,-0.712,-69.397,-7.690,-8.728
0.114,-0.460,-0.720,-71.899,-14.282,14.709
0.103,-0.409,-0.722,-69.031,-20.752,34.851
0.066,-0.372,-0.708,-61.768,-26.550,48.584
0.035,-0.370,-0.699,-54.016,-29.358,59.021
0.038,-0.397,-0.708,-51.086,-30.273,68.970
0.009,-0.416,-0.709,-54.871,-35.522,79.651
-0.024,-0.447,-0.721,-62.622,-40.466,92.285
-0.013,-0.541,-0.742,-74.219,-45.044,103.882
-0.039,-0.669,-0.745,-90.149,-53.101,112.671
-0.052,-0.809,-0.757,-108.765,-60.669,122.803
-0.069,-0.987,-0.753,-120.789,-68.176,138.428
-0.048,-1.191,-0.733,-117.920,-76.172,157.166
-0.106,-1.372,-0.671,-95.520,-81.909,181.030
-0.223,-1.504,-0.586,-52.246,-81.238,215.027
-0.338,-1.556,-0.529,3.906,-74.585,263.428
-0.590,-1.468,-0.500,64.514,-64.758,326.782
-0.750,-1.197,-0.488,122.253,-58.228,395.386
-0.893,-0.726,-0.411,170.288,-70.923,461.548
-1.030,-0.160,-0.271,206.909,-93.018,519.104
-1.118,0.417,-0.117,230.286,-105.896,559.753
-1.157,0.994,-0.012,236.755,-107.239,577.942
-1.143,1.521,0.043,227.112,-101.624,571.167
-1.075,1.931,0.058,206.299,-91.431,537.109
-1.189,2.130,0.104,182.129,-76.050,485.901
-1.297,2.309,0.139,165.833,-57.434,432.617
-1.285,2.415,0.123,146.423,-42.236,381.104
-1.347,2.607,0.107,126.587,-38.147,346.863
-1.264,2.809,0.096,116.882,-41.138,322.815
-1.240,3.024,0.164,116.089,-52.002,302.612
-1.194,3.154,0.241,116.821,-59.631,279.785
-1.090,3.172,0.252,109.131,-51.575,241.638
-0.906,3.124,0.178,89.539,-31.311,173.889
-0.782,2.935,0.089,65.369,-9.094,79.834
-0.759,2.545,0.026,49.438,13.245,-15.930
-0.726,2.071,-0.048,42.236,30.518,-80.261
-0.621,1.700,-0.146,35.339,34.851,-102.417
-0.041,0.969,0.508,38.147,74.524,-256.531
-0.059,0.848,0.422,49.561,90.759,-263.855
-0.033,0.682,0.349,56.458,99.060,-270.508
0.055,0.558,0.311,52.246,98.267,-272.461
0.020,0.491,0.284,37.476,88.806,-265.137
0.092,0.416,0.262,21.667,82.153,-254.761
0.232,0.359,0.251,4.822,72.693,-247.864
0.309,0.324,0.261,-7.202,59.570,-240.845
0.364,0.258,0.284,-11.047,52.856,-233.459
0.414,0.176,0.307,-9.521,53.101,-228.271
0.482,0.074,0.326,-4.395,54.321,-224.487
0.505,-0.013,0.354,1.404,56.213,-216.675
0.509,-0.070,0.358,5.127,60.852,-203.186
0.555,-0.120,0.322,11.536,66.650,-188.110
0.594,-0.181,0.285,24.719,70.618,-175.415
0.566,-0.254,0.267,41.870,72.144,-165.161
0.586,-0.360,0.227,56.030,73.792,-154.602
0.617,-0.491,0.193,61.523,73.486,-142.456
0.632,-0.611,0.193,55.664,67.871,-128.784
0.626,-0.725,0.232,39.001,59.814,-111.084
0.633,-0.828,0.284,15.320,50.659,-89.417
0.635,-0.903,0.336,-8.301,42.053,-65.308
0.633,-0.980,0.397,-23.987,39.246,-36.926
0.584,-1.023,0.452,-31.799,42.358,-8.057
0.519,-1.090,0.471,-34.180,51.941,20.203
0.423,-1.225,0.482,-30.212,63.049,48.340
0.359,-1.414,0.477,-26.733,70.984,73.914
0.330,-1.612,0.477,-28.381,74.463,103.271
0.212,-1.778,0.547,-33.875,78.064,142.395
0.109,-1.839,0.548,-39.307,91.064,194.702
-0.135,-1.757,0.501,-34.790,120.178,261.963
-0.505,-1.520,0.415,-10.193,159.241,341.980
-0.784,-1.087,0.329,31.372,185.852,418.823
-1.026,-0.473,0.302,73.059,183.105,482.544
-1.286,0.174,0.344,105.591,162.720,532.654
