aX,aY,aZ,gX,gY,gZ
-0.703,-1.377,0.143,-280.762,-184.998,189.697
-1.040,-1.264,0.662,-116.638,-184.509,297.974
-1.299,-0.820,0.969,23.437,-158.813,410.278
-1.405,-0.122,0.987,97.046,-118.774,516.479
-1.496,0.520,0.983,146.851,-78.430,581.482
-1.573,0.895,0.995,195.862,-39.001,591.553
-1.665,1.059,0.999,226.746,-3.540,556.152
-1.771,1.196,1.000,234.497,18.738,500.549
-1.903,1.441,0.975,230.530,20.325,458.435
-2.021,1.713,0.962,226.746,7.324,447.021
-2.113,1.970,0.975,226.685,-4.822,449.463
-2.044,2.203,0.942,229.797,-6.165,444.153
-1.968,2.405,0.920,234.253,-5.981,421.265
-1.856,2.511,0.909,234.070,-11.230,378.296
-1.775,2.555,0.925,224.121,-18.433,314.026
-1.662,2.473,0.975,202.026,-24.658,233.582
-1.552,2.298,1.034,164.795,-25.391,146.484
-1.492,2.093,1.036,117.126,-12.939,66.162
-1.455,1.854,0.972,73.669,9.155,3.418
-1.420,1.599,0.857,46.143,32.471,-40.833
-1.370,1.362,0.748,34.241,49.072,-70.435
-1.335,1.168,0.679,33.203,57.251,-87.830
-1.320,1.047,0.626,37.292,60.974,-95.276
-1.324,0.980,0.587,44.495,62.805,-93.994
-1.329,0.945,0.554,53.284,61.218,-88.013
-1.296,0.928,0.524,63.782,55.908,-81.482
-1.264,0.934,0.538,74.036,46.692,-76.538
-1.263,0.972,0.588,79.651,36.072,-72.632
-1.257,1.051,0.648,79.163,29.724,-70.068
-1.270,1.162,0.702,75.134,29.236,-71.045
-1.279,1.272,0.731,72.388,32.898,-77.148
-1.311,1.366,0.749,72.205,39.429,-92.651
-1.338,1.449,0.755,71.655,47.852,-112.488
-1.369,1.520,0.765,70.984,55.359,-129.944
-1.384,1.585,0.782,67.444,61.646,-146.240
-1.419,1.633,0.807,60.913,67.139,-165.588
-1.434,1.664,0.821,52.185,71.350,-190.552
-1.449,1.708,0.864,44.556,73.975,-217.651
-1.495,1.748,0.936,36.926,72.021,-242.249
-1.546,1.769,1.003,26.672,71.533,-265.869
-1.577,1.736,1.028,12.268,79.285,-294.678
-1.521,1.591,1.020,-6.042,91.431,-328.857
-1.477,1.415,1.003,-34.485,102.356,-364.014
-1.445,1.296,0.992,-73.547,108.459,-395.325
